date,product_code,sum
2010-01,עגבניות,13604.0
2010-01,כרוב/קולורבי,43.0
2010-01,גזרים/לפת,1611.0
2010-01,צנון/צנונית,2186.0
2010-01,מלפפונים,83.0
2010-01,חצילים,145.0
2010-01,פלפלים,907.0
2010-01,סלק,1262.0
2010-01,בטטות,432.0
2010-01,תפוזים,10788.0
2010-01,קלמנטינות,12596.0
2010-01,אשכוליות/פומלית,6714.0
2010-01,לימונים,443.0
2010-01,ענבים,64.0
2010-02,עגבניות,14291.0
2010-02,כרוב/קולורבי,30.0
2010-02,גזרים/לפת,3221.0
2010-02,צנון/צנונית,2785.0
2010-02,מלפפונים,12.0
2010-02,חצילים,112.0
2010-02,פלפלים,1093.0
2010-02,סלק,1605.0
2010-02,בטטות,352.0
2010-02,תפוזים,16654.0
2010-02,קלמנטינות,6493.0
2010-02,אשכוליות/פומלית,7017.0
2010-02,לימונים,683.0
2010-03,עגבניות,19680.0
2010-03,כרוב/קולורבי,116.0
2010-03,גזרים/לפת,7353.0
2010-03,צנון/צנונית,3248.0
2010-03,מלפפונים,2.0
2010-03,חצילים,102.0
2010-03,פלפלים,1054.0
2010-03,סלק,1729.0
2010-03,בטטות,270.0
2010-03,תפוזים,12180.0
2010-03,קלמנטינות,5583.0
2010-03,אשכוליות/פומלית,7493.0
2010-03,לימונים,421.0
2010-03,אבטיחים/מלונים,23.0
2010-04,עגבניות,10109.0
2010-04,כרוב/קולורבי,137.0
2010-04,גזרים/לפת,11661.0
2010-04,צנון/צנונית,3882.0
2010-04,מלפפונים,9.0
2010-04,חצילים,72.0
2010-04,פלפלים,517.0
2010-04,סלק,1596.0
2010-04,בטטות,162.0
2010-04,תפוזים,3637.0
2010-04,קלמנטינות,1282.0
2010-04,אשכוליות/פומלית,5950.0
2010-04,לימונים,78.0
2010-04,אבטיחים/מלונים,66.0
2010-05,עגבניות,2729.0
2010-05,גזרים/לפת,5316.0
2010-05,צנון/צנונית,2197.0
2010-05,מלפפונים,1.0
2010-05,חצילים,17.0
2010-05,פלפלים,421.0
2010-05,סלק,1733.0
2010-05,בטטות,161.0
2010-05,תפוזים,592.0
2010-05,קלמנטינות,45.0
2010-05,אשכוליות/פומלית,2570.0
2010-05,לימונים,32.0
2010-05,ענבים,6372.0
2010-05,תפוחים,8216.0
2010-06,עגבניות,522.0
2010-06,בצלים,1.0
2010-06,כרוב/קולורבי,17.0
2010-06,גזרים/לפת,10210.0
2010-06,צנון/צנונית,550.0
2010-06,מלפפונים,117.0
2010-06,פלפלים,261.0
2010-06,סלק,1652.0
2010-06,בטטות,173.0
2010-06,תפוזים,58.0
