year_weeks,other_????? ???????,other_???? ?????,other_???? ?????.1,other_???? ?????.2,other_???? ????,other_???? ???????,other_???? ?? ????,???????_other,???????_????? ???????,???????_???? ?????,???????_???? ?????.1,???????_???? ?????.2,???????_???? ????,???????_???? ?? ????,????????_other,????????_????? ???????,????????_???? ?????,????????_???? ?????.1,????????_???? ?????.2,????????_???? ????,????????_???? ???????,????????_???? ?? ????,?????_other,?????_???? ?????,?????_???? ?????.1,?????_???? ?????.2,?????_???? ????,?????_???? ?? ????,?????_other.1,?????_????? ???????,?????_???? ?????.3,?????_???? ?????.4,?????_???? ?????.5,?????_???? ????.1,?????_???? ???????,?????_???? ?? ????.1,?????_other.2,?????_???? ?????.6,?????_???? ?????.7,?????_???? ?????.8,?????_???? ????.2,?????_???? ???????.1,?????_???? ?? ????.2,???_other,???_????? ???????,???_???? ?????,???_???? ?????.1,???_???? ?????.2,???_???? ????,???_???? ???????,???_???? ?? ????,??????_other,??????_????? ???????,??????_???? ?????,??????_???? ?????.1,??????_???? ?????.2,??????_???? ????,??????_???? ???????,??????_???? ?? ????,????_other,????_????? ???????,????_???? ?????,????_???? ?????.1,????_???? ?????.2,????_???? ????,????_???? ???????,????_???? ?? ????,???????_other.1,???????_???? ?????.3,???????_???? ?????.4,???????_???? ?????.5,???????_???? ????.1,???????_???? ?? ????.1,???_other.1,???_????? ???????.1,???_???? ?????.3,???_???? ?????.4,???_???? ?????.5,???_???? ????.1,???_???? ?? ????.1,??????_other.1,??????_????? ???????.1,??????_???? ?????.3,??????_???? ?????.4,??????_???? ?????.5,??????_???? ????.1,??????_???? ???????.1,??????_???? ?? ????.1,????????_other.1,????????_????? ???????.1,????????_???? ?????.3,????????_???? ?????.4,????????_???? ?????.5,????????_???? ????.1,????????_???? ???????.1,????????_???? ?? ????.1,???_other.2,???_????? ???????.2,???_???? ?????.6,???_???? ?????.7,???_???? ?????.8,???_???? ????.2,???_???? ???????.1,???_???? ?? ????.2,???????_other.2,???????_????? ???????.1,???????_???? ?????.6,???????_???? ?????.7,???????_???? ?????.8,???????_???? ????.2,???????_???? ???????,???????_???? ?? ????.2,?????_other.3,?????_????? ???????.1,?????_???? ?????.9,?????_???? ?????.10,?????_???? ?????.11,?????_???? ????.3,?????_???? ?? ????.3,??????_other.2,??????_???? ?????.6,??????_???? ?????.7,??????_???? ?????.8,??????_???? ????.2,??????_???? ?? ????.2,??????_other.3,??????_????? ???????.2,??????_???? ?????.9,??????_???? ?????.10,??????_???? ?????.11,??????_???? ????.3,??????_???? ???????.2,??????_???? ?? ????.3,????_other.1,????_????? ???????.1,????_???? ?????.3,????_???? ?????.4,????_???? ?????.5,????_???? ???????.1,????_???? ?? ????.1,??????_other.4,??????_????? ???????.3,??????_???? ?????.12,??????_???? ?????.13,??????_???? ?????.14,???????_other.3,???????_????? ???????.2,???????_???? ?????.9,???????_???? ?????.10,???????_???? ?????.11,???????_???? ????.3,???????_???? ???????.1,???????_???? ?? ????.3,???????_other.4,???????_????? ???????.3,???????_???? ?????.12,???????_???? ?????.13,???????_???? ?????.14,???????_???? ????.4,???????_???? ???????.2,???????_???? ?? ????.4,?????????_other,?????????_????? ???????,?????????_???? ?????,?????????_???? ?????.1,?????????_???? ?????.2,?????????_???? ????,?????????_???? ?? ????,"???""?_other","???""?_????? ???????","???""?_???? ?????","???""?_???? ?????.1","???""?_???? ?????.2","???""?_???? ????","???""?_???? ???????","???""?_???? ?? ????",??????_other.5,??????_???? ?????.15,??????_???? ?????.16,??????_???? ?????.17,??????_???? ????.4,??????_???? ?? ????.4,??????_other.6,??????_???? ?????.18,??????_???? ?????.19,??????_???? ?????.20,??????_???? ????.5,??????_???? ?? ????.5
2020-01-13/2020-01-19,0.0,4468.23,1721.07,2141.1,58.5,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2562.2999999999997,0,2928.5099999999998,2207.79,4518.54,569.79,217.61999999999998,0.0,873.9899999999999,579.15,5711.94,0.0,486.71999999999997,0,0.0,0,491.4,50.309999999999995,258.57,851.76,0,0,1528.02,1930.4999999999998,2513.16,1470.6899999999998,0,0,0,0.0,202.41,501.92999999999995,59.669999999999995,0,0,0,0,0.0,0,10834.199999999999,4215.509999999999,0.0,754.65,0,0,6078.15,1205.1,1370.07,1710.54,2799.81,0.0,0.0,807.3,4360.59,3206.97,2293.2,1421.55,1227.33,0,927.81,0.0,200.07,0,868.14,0,0,0,0,85.41,0.0,0.0,0,0,0,0,0,532.35,1860.3,0.0,64.35,0,0.0,4381.65,257.4,1213.29,0.0,7539.48,614.25,0,0,153.26999999999998,0,5558.67,1063.53,0.0,249.20999999999998,0,266.76,0,0,431.72999999999996,0,0.0,0,0,1191.06,1807.6499999999999,1611.09,368.54999999999995,0.0,56.16,611.91,546.39,20356.829999999998,3187.08,0.0,142.73999999999998,0,0,533.52,0,0.0,80.72999999999999,2183.22,0,0,2810.3399999999997,0.0,6753.24,0,0.0,0.0,0,222.29999999999998,203.57999999999998,2913.2999999999997,0.0,0,0,0,0,911.43,0.0,0,0,0,0,7235.28,0.0,9699.3,17230.59,673.92,187.2,94.77,466.83,0,9040.59,8701.289999999999,0.0,1098.6299999999999,0,0,5777.46,2714.3999999999996,1053.0,87.75,621.27,287.82,958.2299999999999,0,0.0,52.65,0,0
2020-01-20/2020-01-26,0.0,4134.78,1546.74,3653.91,230.48999999999998,0,70.19999999999999,0.0,0,0.0,0.0,0.0,0.0,0,2069.73,0,2211.2999999999997,2196.0899999999997,4077.45,534.6899999999999,162.63,0.0,1068.21,579.15,5658.12,0.0,475.02,0,0.0,0,833.04,0.0,1709.37,638.8199999999999,0,0,1360.7099999999998,1806.4799999999998,1924.6499999999999,1983.1499999999999,0,0,0,0.0,152.1,424.71,0.0,0,0,0,0,0.0,0,8632.26,3161.3399999999997,71.36999999999999,789.75,0,0,4622.67,903.2399999999999,1625.1299999999999,3325.14,2808.0,0.0,0.0,606.06,3270.1499999999996,2769.39,3312.27,1065.87,1160.6399999999999,0,696.15,0.0,168.48,0,1750.32,0,0,0,0,64.35,0.0,0.0,0,0,0,0,0,460.97999999999996,1664.9099999999999,0.0,0.0,0,0.0,3741.66,299.52,1304.55,0.0,7204.86,460.97999999999996,0,0,198.89999999999998,0,4855.5,858.78,0.0,219.95999999999998,0,200.07,0,0,324.09,0,0.0,0,0,892.7099999999999,2565.81,1207.4399999999998,595.53,0.0,63.17999999999999,517.14,441.09,18385.379999999997,2480.3999999999996,0.0,107.63999999999999,0,0,548.73,0,70.19999999999999,0.0,2832.5699999999997,0,0,2721.4199999999996,0.0,6609.33,0,0.0,0.0,0,284.31,152.1,2502.6299999999997,0.0,0,0,0,0,755.8199999999999,92.42999999999999,0,0,0,0,7624.889999999999,119.33999999999999,13228.019999999999,15536.429999999998,2156.31,1378.26,167.31,374.4,0,8766.81,7245.8099999999995,0.0,1134.8999999999999,0,0,6451.379999999999,2609.1,1887.2099999999998,76.05,478.53,216.45,718.38,0,0.0,0.0,0,0
2020-01-27/2020-02-02,0.0,4307.94,2454.66,3611.79,325.26,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2073.24,0,2295.54,1976.1299999999999,3818.8799999999997,526.5,132.20999999999998,83.07,972.27,1107.99,5343.389999999999,0.0,539.37,0,0.0,0,690.3,0.0,1738.62,519.48,0,0,1205.1,2199.6,1678.9499999999998,1667.25,0,0,0,0.0,122.85,756.99,0.0,0,0,0,0,0.0,0,7032.87,2958.93,87.75,769.8599999999999,0,0,7209.54,735.93,2324.79,2841.93,2617.29,0.0,0.0,493.73999999999995,2833.74,2898.0899999999997,3245.58,869.31,1256.58,0,567.4499999999999,0.0,136.89,0,1657.8899999999999,0,0,0,0,244.52999999999997,0.0,0.0,0,0,0,0,0,383.76,1905.9299999999998,0.0,0.0,0,0.0,3930.0299999999997,243.35999999999999,1079.9099999999999,0.0,6926.4,375.57,0,0,216.45,0,4664.79,809.64,0.0,179.01,0,699.66,0,0,264.41999999999996,0,0.0,0,0,921.9599999999999,2480.3999999999996,993.3299999999999,603.7199999999999,0.0,86.58,435.23999999999995,414.17999999999995,16746.21,2458.17,0.0,87.75,0,0,597.87,0,90.08999999999999,0.0,2357.5499999999997,0,0,3177.72,0.0,6764.94,0,0.0,0.0,0,312.39,124.02,2474.5499999999997,0.0,0,0,0,0,719.55,95.94,0,0,0,0,7884.629999999999,97.11,13264.289999999999,14379.3,2047.4999999999998,1391.1299999999999,183.69,423.53999999999996,0,12399.66,6155.37,0.0,1295.1899999999998,0,0,7213.049999999999,2309.58,2237.04,146.25,407.15999999999997,175.5,599.04,0,0.0,0.0,0,0
2020-02-03/2020-02-09,0.0,4350.0599999999995,2706.21,3894.93,522.99,0,117.0,0.0,0,0.0,0.0,0.0,0.0,0,1918.8,0,2639.52,1897.7399999999998,3729.9599999999996,460.97999999999996,112.32,74.88,1021.41,975.78,4626.179999999999,0.0,556.92,0,0.0,0,716.04,0.0,2018.2499999999998,438.75,0,0,1568.9699999999998,2379.7799999999997,1604.07,1824.03,0,0,0,0.0,104.13,664.56,99.44999999999999,0,0,0,0,0.0,0,5948.28,2661.75,0.0,649.3499999999999,0,0,6103.889999999999,621.27,2093.1299999999997,3715.9199999999996,3359.0699999999997,0.0,0.0,416.52,2538.8999999999996,2817.3599999999997,3075.93,732.42,1104.48,0,513.63,0.0,128.7,0,1960.9199999999998,0,0,0,0,205.92,0.0,0.0,0,0,0,0,0,329.94,1922.31,0.0,0.0,0,0.0,3753.3599999999997,205.92,974.6099999999999,0.0,6370.65,315.9,0,0,504.27,0,4914.0,1019.0699999999999,0.0,244.52999999999997,0,590.8499999999999,0,0,222.29999999999998,0,0.0,0,0,965.2499999999999,2399.67,925.4699999999999,546.39,0.0,77.22,367.38,349.83,15541.109999999999,2245.23,0.0,0.0,0,0,580.3199999999999,0,76.05,0.0,2176.2,0,0,3202.29,0.0,6780.15,0,0.0,0.0,0,263.25,104.13,2813.85,0.0,0,0,0,0,811.9799999999999,93.6,0,0,0,0,7353.45,81.89999999999999,12757.679999999998,13453.83,1850.9399999999998,1495.26,210.6,511.28999999999996,0,13009.23,5449.86,0.0,1171.1699999999998,0,0,7450.5599999999995,2681.64,2026.4399999999998,124.02,343.97999999999996,148.59,505.43999999999994,0,0.0,0.0,0,0
2020-02-10/2020-02-16,0.0,4183.92,2757.69,4523.219999999999,1177.02,0,117.0,0.0,0,0.0,0.0,0.0,0.0,0,2176.2,0,2846.6099999999997,2043.9899999999998,3807.18,655.1999999999999,97.11,0.0,1001.52,904.41,4160.5199999999995,0.0,535.86,0,90.08999999999999,0,680.9399999999999,0.0,1943.37,379.08,0,0,1721.07,2616.12,1627.4699999999998,1766.6999999999998,0,0,0,0.0,90.08999999999999,902.0699999999999,90.08999999999999,0,0,0,0,938.3399999999999,0,5633.549999999999,2308.41,0.0,561.5999999999999,0,0,6205.679999999999,537.03,1889.55,4567.679999999999,4203.8099999999995,0.0,0.0,360.35999999999996,2514.33,3464.37,2838.4199999999996,639.99,955.89,0,528.8399999999999,0.0,299.52,0,2173.8599999999997,0,0,0,0,177.83999999999997,0.0,0.0,0,0,0,0,0,291.33,2301.39,0.0,134.54999999999998,0,0.0,3824.7299999999996,177.83999999999997,864.63,0.0,6197.49,273.78,0,0,683.28,0,4926.87,999.18,142.73999999999998,260.90999999999997,0,510.11999999999995,0,0,191.88,0,0.0,0,0,947.6999999999999,2435.94,904.41,538.1999999999999,0.0,0.0,327.59999999999997,322.91999999999996,15227.55,2193.75,0.0,111.14999999999999,0,0,579.15,0,107.63999999999999,0.0,2375.1,0,0,3155.49,0.0,6711.12,0,0.0,0.0,0,228.14999999999998,90.08999999999999,3118.0499999999997,0.0,0,0,0,0,817.8299999999999,0.0,0,0,0,0,7698.599999999999,0.0,12330.63,12385.619999999999,1675.4399999999998,1638.0,203.57999999999998,531.18,0,12406.679999999998,4798.17,169.64999999999998,1855.62,0,0,7773.48,3327.48,1998.36,193.04999999999998,307.71,128.7,458.64,0,0.0,0.0,0,0
2020-02-17/2020-02-23,0.0,5046.21,3015.0899999999997,4779.45,1207.4399999999998,0,126.35999999999999,0.0,0,0.0,0.0,0.0,0.0,0,2246.3999999999996,0,2700.3599999999997,1938.6899999999998,3736.9799999999996,589.68,0.0,107.63999999999999,989.8199999999999,833.04,3789.6299999999997,0.0,486.71999999999997,0,393.12,0,665.7299999999999,0.0,1746.81,334.62,0,0,2288.52,5247.45,1640.34,1957.4099999999999,0,0,0,0.0,0.0,1095.12,0.0,0,0,0,0,1378.26,0,5339.88,2033.4599999999998,0.0,494.90999999999997,0,0,5534.099999999999,472.67999999999995,1746.81,4272.84,3703.0499999999997,0.0,0.0,317.07,2976.48,3290.04,3299.3999999999996,803.79,841.2299999999999,0,705.51,0.0,658.7099999999999,0,2160.99,0,0,0,0,156.78,0.0,0.0,0,0,0,0,0,262.08,2442.96,0.0,171.98999999999998,0,0.0,3548.6099999999997,156.78,824.8499999999999,0.0,6351.929999999999,241.01999999999998,0,0,756.99,0,6048.9,1373.58,358.02,333.45,0,449.28,0,0,169.64999999999998,0,0.0,0,0,1115.01,2246.3999999999996,1198.08,546.39,0.0,0.0,303.03,313.56,14866.019999999999,1951.56,0.0,97.11,0,0,561.5999999999999,0,142.73999999999998,0.0,2389.14,0,0,3092.31,0.0,7003.62,0,0.0,0.0,0,200.07,284.31,2979.99,0.0,0,0,0,0,748.8,0.0,0,0,0,0,8438.039999999999,0.0,11967.929999999998,11126.699999999999,1622.79,1561.9499999999998,179.01,634.14,0,11676.599999999999,4866.03,149.76,1660.2299999999998,0,0,8117.459999999999,3256.1099999999997,1935.1799999999998,169.64999999999998,279.63,154.44,403.65,0,0.0,0.0,0,0
2020-02-24/2020-03-01,0.0,4813.38,3017.43,4950.2699999999995,1185.21,0,114.66,0.0,0,0.0,0.0,0.0,0.0,0,2410.2,0,2561.1299999999997,1784.25,3618.81,533.52,0.0,273.78,1042.47,797.9399999999999,3472.56,0.0,442.26,0,391.95,0,1120.86,0.0,1627.4699999999998,298.34999999999997,0,0,2246.3999999999996,8002.799999999999,1509.3,2047.4999999999998,0,0,0,0.0,0.0,1366.56,441.09,0,0,0,0,1232.01,0,4815.719999999999,1866.1499999999999,0.0,442.26,0,0,5572.71,422.36999999999995,4361.759999999999,4531.41,3308.7599999999998,0.0,0.0,283.14,2916.81,3253.77,2954.25,733.5899999999999,787.41,0,821.3399999999999,0.0,661.05,0,2131.74,0,0,0,0,140.39999999999998,0.0,0.0,0,0,0,0,0,327.59999999999997,3198.7799999999997,0.0,278.46,0,0.0,3218.6699999999996,140.39999999999998,925.4699999999999,0.0,6086.339999999999,215.27999999999997,0,0,746.4599999999999,0,8104.589999999999,1669.59,687.9599999999999,321.75,0,727.74,0,0,150.92999999999998,0,0.0,0,0,996.8399999999999,2036.9699999999998,1318.59,503.09999999999997,0.0,0.0,401.31,288.99,14050.529999999999,1758.51,0.0,0.0,0,0,629.4599999999999,0,486.71999999999997,0.0,2290.8599999999997,0,0,3113.37,0.0,7246.98,0,0.0,0.0,0,379.08,253.89,2862.99,0.0,0,0,0,0,780.39,0.0,0,0,0,0,8738.73,0.0,11129.039999999999,10642.32,1495.26,1429.74,160.29,649.3499999999999,0,13591.89,4947.929999999999,133.38,1607.58,0,0,8030.879999999999,3107.52,1766.6999999999998,152.1,262.08,146.25,386.09999999999997,0,0.0,0.0,0,0
2020-03-02/2020-03-08,253.89,5212.349999999999,3277.1699999999996,5027.49,1162.98,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2544.75,0,2398.5,1660.2299999999998,3393.0,521.8199999999999,0.0,260.90999999999997,1071.72,780.39,3221.0099999999998,0.0,428.21999999999997,0,534.6899999999999,0,1349.01,0.0,1935.1799999999998,270.27,0,0,2177.37,7946.639999999999,1542.06,2564.64,0,0,0,244.52999999999997,0.0,1471.86,398.96999999999997,0,0,0,0,1113.84,0,4525.5599999999995,1692.99,0.0,400.14,0,0,5239.259999999999,381.41999999999996,4236.57,5374.98,2999.8799999999997,0.0,0.0,256.22999999999996,2962.4399999999996,3050.1899999999996,2674.62,691.4699999999999,912.5999999999999,0,755.8199999999999,134.54999999999998,668.0699999999999,0,2125.89,0,0,0,0,126.35999999999999,0.0,0.0,0,0,0,0,0,314.72999999999996,3594.24,0.0,307.71,0,0.0,2983.5,126.35999999999999,864.63,0.0,6376.5,194.22,0,0,707.8499999999999,0,10435.23,1889.55,1027.26,403.65,0,703.17,0,0,136.89,0,0.0,0,0,950.04,2039.31,1213.29,691.4699999999999,0.0,0.0,362.7,260.90999999999997,13286.519999999999,1690.6499999999999,0.0,0.0,0,0,592.02,0,739.4399999999999,0.0,2190.24,0,0,3089.97,0.0,7167.419999999999,0,0.0,0.0,0,1188.72,449.28,3085.29,0.0,0,0,0,0,768.6899999999999,0.0,0,0,0,0,8482.5,0.0,10939.5,10530.0,1442.61,1324.4399999999998,184.85999999999999,725.4,0,12968.279999999999,4804.0199999999995,0.0,2017.08,0,0,7930.259999999999,3153.1499999999996,1677.78,140.39999999999998,252.71999999999997,146.25,355.67999999999995,0,0.0,0.0,0,0
2020-03-09/2020-03-15,231.66,5700.24,3283.02,4797.0,1125.54,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2958.93,0,2239.3799999999997,1630.9799999999998,3430.4399999999996,498.41999999999996,0.0,244.52999999999997,1086.9299999999998,751.14,3045.5099999999998,0.0,402.47999999999996,0,1047.1499999999999,0,1281.1499999999999,0.0,1880.1899999999998,245.7,0,0,2884.0499999999997,7483.32,1406.34,3635.1899999999996,0,0,0,285.47999999999996,0.0,1817.01,525.3299999999999,0,0,0,0,1016.7299999999999,0,4169.88,1544.3999999999999,0.0,416.52,0,0,6411.599999999999,348.65999999999997,3925.35,5110.5599999999995,2736.6299999999997,0.0,0.0,234.0,2866.5,2971.7999999999997,2440.62,717.2099999999999,831.87,0,739.4399999999999,142.73999999999998,663.39,0,2062.71,0,0,0,0,119.33999999999999,0.0,0.0,0,0,0,0,0,328.77,4020.12,0.0,383.76,0,0.0,3031.47,0.0,948.8699999999999,0.0,6555.509999999999,177.83999999999997,0,0,696.15,0,13955.759999999998,1729.26,2144.6099999999997,388.44,0,641.16,0,0,125.19,0,0.0,0,0,866.9699999999999,1963.26,1140.75,713.6999999999999,0.0,0.0,331.10999999999996,237.51,12586.859999999999,1542.06,0.0,0.0,0,0,540.54,0,690.3,0.0,2301.39,0,0,3004.56,0.0,7020.0,0,0.0,0.0,0,1645.02,665.7299999999999,3166.02,0.0,0,0,0,0,794.43,0.0,0,0,0,0,8006.3099999999995,0.0,10602.539999999999,10157.939999999999,2419.56,1377.09,168.48,1559.61,0,12404.34,5119.92,0.0,1928.1599999999999,0,0,7580.429999999999,3099.33,1578.33,128.7,239.85,166.14,336.96,0,0.0,0.0,0,0
2020-03-16/2020-03-22,212.94,5972.849999999999,3178.89,4596.929999999999,1174.6799999999998,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2779.9199999999996,0,2107.17,1625.1299999999999,3573.18,464.48999999999995,0.0,230.48999999999998,1067.04,771.03,2862.99,0.0,369.71999999999997,0,2173.8599999999997,0,1251.8999999999999,0.0,1791.27,225.80999999999997,0,0,2947.23,7693.919999999999,1313.9099999999999,4214.34,0,0,0,299.52,0.0,2156.31,541.7099999999999,0,0,0,0,933.66,0,3882.06,1420.3799999999999,0.0,441.09,0,0,6513.389999999999,320.58,4196.79,4720.95,2515.5,0.0,0.0,214.10999999999999,2873.52,2925.0,2411.37,659.88,1028.4299999999998,0,679.77,283.14,752.31,0,1956.2399999999998,0,0,0,0,155.60999999999999,0.0,0.0,0,0,0,0,0,367.38,5701.41,0.0,479.7,0,0.0,3382.47,193.04999999999998,928.9799999999999,0.0,6723.99,162.63,0,0,882.18,0,15422.939999999999,1628.6399999999999,2005.3799999999999,379.08,0,589.68,0,0,0.0,0,0.0,0,0,866.9699999999999,1861.4699999999998,1095.12,656.37,0.0,0.0,334.62,239.85,11881.349999999999,1490.58,0.0,0.0,0,0,525.3299999999999,0,634.14,0.0,2148.12,0,0,3036.1499999999996,0.0,7216.5599999999995,0,0.0,0.0,0,2411.37,904.41,4660.11,0.0,0,0,0,0,820.17,0.0,0,0,0,0,8211.06,0.0,10603.71,9771.84,3120.39,1516.32,155.60999999999999,1959.7499999999998,0,12531.869999999999,5187.78,183.69,2015.9099999999999,0,0,7152.209999999999,2987.0099999999998,1495.26,0.0,223.47,195.39,326.43,0,0.0,0.0,0,0
